"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"CraftVatika Valentines Day Gift for Husband Wife","https://m.media-amazon.com/images/I/51aAdNaEKHL._SL1024_.jpg","Valentine Day Gift Ideas","","CraftVatika Valentines Day Gift for Husband Wife Girlfriend Boyfriend, Valentine Love Couple on Scooter Ride Statue Showpiece Home Decorative Items for Tabletop, Room Office Decor Bedroom Items.","https://onlypresents.store/product/gzc897","","couple, for her, for him, gift set, home decor, romantic, under 500"
"Home Dcor Ceramic Rabbit Figurines (Set of 2)","https://m.media-amazon.com/images/I/61-zbAsVE5L._SL1024_.jpg","Cute Couple Gifts Ideas","","Home Dcor Ceramic Rabbit Figurines (Set of 2, Black and Grey).","https://onlypresents.store/product/96s1t5","","home decor, modern decor, gift set"
"Bonsai Tree Lamp Night Light Tabletop for Home","https://m.media-amazon.com/images/I/415edbJeiiL.jpg","Cute Couple Gifts Ideas","","Bonsai Tree Lamp Night Light Tabletop for Home Decor, Bedroom, Wedding, Christmas Diwali Decor Fairy Lights Tabel Lamp Lights (84LEDWarm White).","https://onlypresents.store/product/lx73ds","","for her, for him, home decor"
"TOYTONIC Silicone Duck Night Light for Kids","https://m.media-amazon.com/images/I/51nShudciTL._SL1080_.jpg","Amazon Finds Under 499","","TOYTONIC Silicone Duck Night Light for Kids Rechargeable Touch Led Lamp Color Changing, Soft Bedside Light Cute Night Lamp for Bedroom, Babies, Gift, Nursery Room Decor.","https://onlypresents.store/product/kztglh","","cute, for her, for him, gift set, home decor, soft toy, under 500"
"ZOCI VOCI Anniversary Gift for Wife 3D Illusion","https://m.media-amazon.com/images/I/718q0YNcF4L._SL1375_.jpg","Cute Couple Gifts Ideas","","ZOCI VOCI Anniversary Gift for Wife 3D Illusion Heart Lamp Engraved Night Lamps Personalized Gifts for Wedding Customized Gifts for Couple Marriage Gifts (3D Illusion Medium) LED, Acrylic, Clear.","https://onlypresents.store/product/86r36z","","couple, for her, for him, gift set, home decor, romantic"
"CraftVatika Valentine Love Couple Statue","https://m.media-amazon.com/images/I/71ENcspTNHL._SL1500_.jpg","Valentine Day Gift Ideas","","CraftVatika Valentine Love Couple Statue Showpiece Home Decorative Items for Tabletop,Room Office Decor Bedroom Items,Valentines Day Gift for Husband Wife Girlfriend Boyfriend,Multicolor.","https://onlypresents.store/product/jhkbap","","couple, for her, for him, gift set, home decor, romantic, under 500"
"Customised Photo Engraved Lamp for Wedding","https://m.media-amazon.com/images/I/61JSNikzVNL._SL1000_.jpg","Cute Couple Gifts Ideas","","Customised Photo Engraved Lamp for Wedding Anniversary Gift,Birthday Day Ideas for Wife Husband,Engagment for Couples,Parents Anniversary, Personalised with Names Date.","https://onlypresents.store/product/sb1lea","","couple, for her, for him, gift set, home decor, romantic"
"Artistic Gifts Acrylic Handcrafted Personalized","https://m.media-amazon.com/images/I/61lFr4Q23QL._SL1080_.jpg","Valentine Day Gift Ideas","","Artistic Gifts Acrylic Handcrafted Personalized 3D Illusion Photo Lamp for Couples Customized Photo Frame Night Lamp Wedding Anniversary Gift for Valentine, Couple, Wife, Husband, Parents, Friends.","https://onlypresents.store/product/cu0es1","","couple, for her, for him, gift set, home decor, premium, romantic"
"Cute Panda Couple Keychain Bag Charms Birthday","https://m.media-amazon.com/images/I/81xAsrHyh9L._SX569_.jpg","Valentine Day Gift Ideas","","Cute Panda Couple Keychain Bag Charms Birthday Gift For Girlfriend Boyfriend Husband Wife Boys Girls Car Bike Valentine Gift.","https://onlypresents.store/product/jbvkcq","","accessories, couple, for her, for him, gift set, romantic, under 500"
"ceramic Thinker Men Statue Set of 3 Modern Art","https://m.media-amazon.com/images/I/51SnWGbCB2L._SL1024_.jpg","Amazon Finds Under 499","","ceramic Thinker Men Statue Set of 3 Modern Art Showpiece Sculpture Decoration Items for Home Decor Living Room Bedroom Bookshelf Table Office (White Matte Thinker).","https://onlypresents.store/product/dn4gu7","","home decor, modern decor, under 500"
